sample_name	condition
12181_179803.T.T02.S2	unknown1
19479_000000.T.T02.S2	unknown1
19484_000000.T.T02.S2	unknown1
19768_137412.T.T02.S2	unknown1
20055_000000.T.T02.S2	unknown1
20256_000000.T.T02.S2	unknown1
20362_000000.T.T02.S2	unknown1
20458_000000.T.T02.S2	unknown1
20594_000000.T.T02.S2	unknown1
20901_000000.T.T02.S2	unknown1
20901_000001.T.T02.S2	unknown1
21811_000000.T.T02.S2	unknown1
21904_000000.T.T02.S2	unknown1
22038_000000.T.T02.S2	unknown1
22049_000000.T.T02.S2	unknown1
22060_000000.T.T02.S2	unknown1
22112_000000.T.T02.S2	unknown1
22226_000000.T.T02.S2	unknown1
22242_000000.T.T02.S2	unknown1
22286_000000.T.T02.S2	unknown1
22320_000000.T.T02.S2	unknown1
22339_000000.T.T02.S2	unknown1
22340_000000.T.T02.S2	unknown1
22448_000000.T.T02.S2	unknown1
22481_000000.T.T02.S2	unknown1
22484_000000.T.T02.S2	unknown1
22487_000000.T.T02.S2	unknown1
22488_000000.T.T02.S2	unknown1
22589_000000.T.T02.S2	unknown1
22597_000000.T.T02.S2	unknown1
22599_000000.T.T02.S2	unknown1
22600_000000.T.T02.S2	unknown1
22603_000000.T.T02.S2	unknown1
22604_000000.T.T02.S2	unknown1
22607_000000.T.T02.S2	unknown1
22668_000000.T.T02.S2	unknown1
22925_000000.T.T02.S2	unknown1
23342_000000.T.T02.S2	unknown1
23374_000000.T.T02.S2	unknown1
23388_178001.T.T02.S2	unknown1
23495_000000.T.T02.S2	unknown1
23549_000000.T.T02.S2	unknown1
23597_000000.T.T02.S2	unknown1
24077_000000.T.T02.S2	unknown1
24282_000000.T.T02.S2	unknown1
24453_000000.T.T02.S2	unknown1
24455_000000.T.T02.S2	unknown1
24457_000000.T.T02.S2	unknown1
24458_000000.T.T02.S2	unknown1
24544_000000.T.T02.S2	unknown1
24580_000000.T.T02.S2	unknown1
24723_000000.T.T02.S2	unknown1
24757_172723.T.T02.S2	unknown1
24797_000000.T.T02.S2	unknown1
24863_000000.T.T02.S2	unknown1
24885_000000.T.T02.S2	unknown1
24914_000000.T.T02.S2	unknown1
25080_000000.T.T02.S2	unknown1
